xtf_id,Nummer,Name,Abkuerzung,DatenherrAbkuerzung,TUNummer,TUAbkuerzung,Betriebspunkttyp,Verkehrsmittel,y_Koord_Ost,x_Koord_Nord,Hoehe,GdeNummer,GdeName,BeginnGueltigkeit,EndeGueltigkeit,BearbeitungsDatum,Stand,rUebergeordneteHaltestelle
ch14uvag00057370,8508186,Rohrbach,RBA,BLS,16,BLS,Haltestelle_und_Bedienpunkt,Zug,2628463,1220751,584,338,Rohrbach,19871231,,20181122,20181209,
ch14uvag00041319,8587698,"Bitsch, Eiche",,,7,PAG,Haltestelle,Bus,2643683,1132003,937,6173,Bitsch,19980922,,20181122,20181209,
ch14uvag00165667,8531188,Zinal Chiesso,,,1129,RMGZ,Haltestelle,Sesselbahn,2613318,1109828,2186,6252,Anniviers,20151118,,20181122,20181209,
ch14uvag00043116,8530051,Chaux-Ronde,,,1189,TVGD,Haltestelle,Sesselbahn,2572770,1129980,1978,5409,Ollon,19890101,,20181122,20181209,
ch14uvag00044890,8501442,Eggishorn,,,596,ABAG,Haltestelle,Kabinenbahn,2650331,1141959,2878,6057,Fiesch,19890101,,20181122,20181209,
ch14uvag00053607,8583656,"Montavon, La Vélie",,,7,PAG,Haltestelle,Bus,2584548,1246665,606,6702,Boécourt,20130920,,20181122,20181209,
ch14uvag00040616,8590028,"Bern, Bierhübeli",,,306,SVB,Haltestelle,Bus,2599934,1200621,555,351,Bern,20071126,,20181122,20181209,
ch14uvag00051584,8579143,"Les Bioux, AVJ",,,365,AVJ,Haltestelle,Bus,2509845,1163460,1023,5871,L'Abbaye,19930201,,20181122,20181209,
ch14uvag00051936,8572195,"Liesberg, Station",,,7,PAG,Haltestelle,Bus,2599991,1249781,382,2788,Liesberg,19930201,,20181122,20181209,
ch14uvag00047778,8576536,"Grindelwald, Jägerstübli",,,563,AVG,Haltestelle,Bus,2643212,1163308,1118,576,Grindelwald,19930201,,20181122,20181209,
ch14uvag00055347,8589978,"Oberwil BL, Hochletten",,,122,BLT,Haltestelle,Bus,2609759,1262862,324,2771,Oberwil (BL),20071003,,20181122,20181209,
ch14uvag00044882,8574454,"Eggersriet, Ebne Eggersriet",,,7,PAG,Haltestelle,Bus,2751310,1255978,751,3212,Eggersriet,19930201,,20181122,20181209,
ch14uvag00057875,8572488,"Rüfenach AG, Schulhaus",,,7,PAG,Haltestelle,Bus,2658113,1262198,375,4112,Rüfenach,19930201,,20181122,20181209,
ch14uvag00041264,8530628,Birrwil (See),,,604,SGH,Haltestelle,Schiff,2657810,1238061,521,4132,Birrwil,19930304,,20181122,20181209,
ch14uvag00054105,8517411,"Muttenz, Rothausstrasse",,,122,BLT,Haltestelle,Tram,2616382,1263819,285,2770,Muttenz,20061211,,20181122,20181209,
ch14uvag00068565,8519320,Bière-Jonction,,,120,MBC,reiner_Betriebspunkt,,2516635,1155082,697,5425,Bière,20150317,,20181122,20181209,
ch14uvag00040974,8578665,"Biberstein, Ihegi",,,502,BBA,Haltestelle,Bus,2649183,1251691,396,4002,Biberstein,19930201,,20181122,20181209,
ch14uvag00051464,8591772,"Lenk, Krummenbach",,,351,AFA,Haltestelle,Bus,2600039,1144539,1085,792,Lenk,20080715,,20181122,20181209,
ch14uvag00043870,8501542,"Crans-s.-S., téléphérique",,,473,SMC,Haltestelle,Bus,2602381,1128566,1488,6234,Chermignon,19930201,,20181122,20181209,
ch14uvag00165485,8583797,"Martigny, Rue Marc Morand",,,7,PAG,Haltestelle,Bus,2571722,1105727,471,6136,Martigny,20150605,,20181122,20181209,
ch14uvag00048609,8500978,"Herznach, Post",,,7,PAG,Haltestelle,Bus,2646128,1258403,415,4166,Herznach,19930201,,20181122,20181209,
ch14uvag00041397,8572023,"Boécourt, La Monte",,,7,PAG,Haltestelle,Bus,2583129,1244391,525,6702,Boécourt,19930201,,20181122,20181209,
ch14uvag00043604,8570710,"Conthey, Grands-Prés",,,7,PAG,Haltestelle,Bus,2589576,1119380,496,6023,Conthey,19930201,,20181122,20181209,
ch14uvag00054578,8577252,"Neudorf, Paradisli",,,356,AAGR,Haltestelle,Bus,2658364,1226141,670,1081,Beromünster,19930201,,20181122,20181209,
ch14uvag00046238,8594737,"Frauenfeld, Langfeldkreisel",,,515,SBF,Haltestelle,Bus,2710590,1269467,400,4566,Frauenfeld,20110822,,20181122,20181209,
ch14uvag00048453,8572291,"Hemmiken, Friedhof",,,7,PAG,Haltestelle,Bus,2633795,1259513,476,2848,Hemmiken,19930201,,20181122,20181209,
ch14uvag00060126,8595352,"St. Gallen, Union",,,537,VBSG,Haltestelle,Bus,2746045,1254566,673,3203,St. Gallen,20130321,,20181122,20181209,
ch14uvag00046341,8504881,"Fribourg, gare routière",,,251,TPF,Haltestelle,Bus,2577993,1183640,629,2196,Fribourg,19930201,,20181122,20181209,
ch14uvag00049998,8504197,"Kriechenwil, Schulhaus",,,7,PAG,Haltestelle,Bus,2583275,1195464,527,666,Kriechenwil,19890101,,20181122,20181209,
ch14uvag00061847,8581789,"Uetendorf, Mehrzweckhalle Bach",,,7,PAG,Haltestelle,Bus,2611007,1180218,555,944,Uetendorf,20040628,,20181122,20181209,
